oldKey,newKey,check
Burbrink2015-yh,burbrink2015,
Burbrink2015-vx,burbrink2015,
Emerson2008-as,emerson2008,
Emerson2008-xb,emerson2008,
Engen1996-na,engen1996gamma,
Engen1996-jt,engen1996lnorm,
Kendall1948-pj,kendall1948,
Kendall1948-ri,kendall1948fisher,
Kingman1982-ie,kingman1982japplprob,
Kingman1982-uf,kingman1982stochasti,
McGill2003-sf,mcgill2003,
McGill2003-jy,mcgill2003,
McGill2007-hx,mcgill2007,
McGill2007-zd,mcgill2007,
pueyo2007,pueyo2007,
Pueyo2007-iq,pueyo2007,
Rabosky2008-bs,rabosky2008evolution,
Rabosky2008-ej,rabosky2008proceedin,
Vellend2005-up,vellend2005amnat,
Vellend2005-qd,vellend2005ecollett,
Adler2007-pl,adler2007,
Adler2010-ad,adler2010,
Alroy2008-no,alroy2008,
Alroy2010-lv,alroy2010,
Alter2007-hk,alter2007,
angly2014,angly2014,
Arbogast2001-jx,arbogast2001,
Avise1987-vx,avise1987,
Avise1998-th,avise1998,
Bahlo2000-cx,bahlo2000,
baldridge2016,baldridge2016,
Barnosky2012-qz,barnosky2012,
Barton1998-xs,barton1998,
Barton2000-gr,barton2000,
Beaumont2010-to,beaumont2010,
Beerli2001-mt,beerli2001,
benton2009,benton2009,
blonder2015,blonder2015,
bohmann2014,bohmann2014,
Boitard2016-zw,boitard2016,
Bowler2012-tn,bowler2012,
Brown2016-th,brown2016,
capo2016,capo2016,
Carstens2005-uf,carstens2005,
Carstens2016-mc,carstens2016,
Chan2014-nq,chan2014,
Charlesworth2010-hn,charlesworth2010,
Chesson2000-uc,chesson2000,
coissac2016,coissac2016,
Cruickshank2014-bp,cruickshank2014,
Davies2011-mz,davies2011,
dawson2016,dawson2016,
Dexter2012-rn,dexter2012,
dodsworth2015,dodsworth2015,
Drummond2005-zh,drummond2005,
Edwards2000-cs,edwards2000,
elbrecht2015,elbrecht2015,
Emerson2002-mw,emerson2002,
erwin2008,erwin2008,
Estoup2003-ny,estoup2003,
Estoup2004-cy,estoup2004,
Etienne2004-fm,etienne2004,
etienne2007,etienne2007,
etienne2011,etienne2011,
Etienne2012-ky,etienne2012,
Ewing2016-bm,ewing2016,
Freedman2016-yx,freedman2016,
gibson2014,gibson2014,
Godoy2014-iv,godoy2014,
Good2014-fq,good2014,
Gray2014-kp,gray2014,
Harnik2011-qe,harnik2011,
Harte2009-zq,harte2009,
Harte2011-um,harte2011,
Hewitt2004-my,hewitt2004,
Hey2004-xe,hey2004,
Hickerson2005-ek,hickerson2005,
Hickerson2006-uf,hickerson2006,
Hickerson2008-da,hickerson2008,
Hickerson2014-za,hickerson2014,
HilleRisLambers2012-xt,hillerislambers2012,
Hoban2016-wc,hoban2016,
Hubbell2001-dx,hubbell2001,
Hubbell2005-ng,hubbell2005,
Hudson1983-hx,hudson1983,
hutch,hutch,
Jabot2009-xr,jabot2009,
Jensen2005-ef,jensen2005,
ji2013,ji2013,
Joseph2016-iu,joseph2016,
kelleher2016,kelleher2016,
Kern2016-ap,kern2016,
Kim2002-ex,kim2002,
Kirchner1998-uk,kirchner1998,
krehenwinkel2016,krehenwinkel2016,
Kuhlwilm2016-vf,kuhlwilm2016,
Kuhner1998-dp,kuhner1998,
Laroche2015-qo,laroche2015,
Lavergne2010-ts,lavergne2010,
leray2015,leray2015,
Levine2009-qj,levine2009,
Li2016-ns,li2016,
linard2015,linard2015,
liu2016,liu2016,
Losos2008-eq,losos2008,
MacArthur1967-ux,macarthur1967,
Mallet2016-iu,mallet2016,
Mayfield2010-hg,mayfield2010,
Mazet2015-iy,mazet2015,
McGaughran2015-sy,mcgaughran2015,
mcgill2010,mcgill2010,
Meirmans2012-uw,meirmans2012,
meteR,meteR,
neill2009,neill2009,
nielsen2014,nielsen2014,
Nosil2008-km,nosil2008,
Olszewski2004-ud,olszewski2004,
overcast,overcast,
Papadopoulou2011-bd,papadopoulou2011,
Papadopoulou2016-ki,papadopoulou2016,
Petkova2016-rw,petkova2016,
Phung2016-uo,phung2016,
pompanon2012,pompanon2012,
Prado-Martinez2013-hv,prado-martinez2013,
Prates2016-xv,prates2016,
Pritchard1999-zf,pritchard1999,
Quental2009-jf,quental2009,
Rabosky2009-gs,rabosky2009,
Rabosky2013-gk,rabosky2013,
redQueen,redQueen,
Ricklefs2006-tn,ricklefs2006,
Ricklefs2007-wo,ricklefs2007,
Robinson2014-vy,robinson2014,
Rominger2015-kb,rominger2015,
Rosenberg2002-ag,rosenberg2002,
Rosindell2010-gq,rosindell2010,
Rosindell2015-dk,rosindell2015,
Roux2016-hz,roux2016,
Saitoh2016,Saitoh2016,
Satler2016-lb,satler2016,
Schiffels2014-rv,schiffels2014,
Schrider2016-cw,schrider2016,
Sepkoski1984-kv,sepkoski1984,
Shapiro2016-rx,shapiro2016,
Shipley2006-sx,shipley2006,
shokralla2015,shokralla2015,
Slatkin1991-ec,slatkin1991,
Slatkin2005-rb,slatkin2005,
Smith2012-db,smith2012,
Sousa2013-ox,sousa2013,
Stephan2016-lf,stephan2016,
sukumaran2016,sukumaran2016,
Sunnaker2013-ts,sunnaker2013,
taberlet2012,taberlet2012,
Tajima1983-me,tajima1983,
Tajima1989-mc,tajima1989,
tang2014,tang2014,
Terhorst2015-mt,terhorst2015,
Terhorst2016-wl,terhorst2016,
Tilman2004-xt,tilman2004,
Vanoverbeke2015-ym,vanoverbeke2015,
Veeramah2014-fg,veeramah2014,
Vellend2014-ir,vellend2014,
Venkataraman2015-rk,venkataraman2015,
Wagner2006-te,wagner2006,
Wakeley2008-se,wakeley2008,
Wallington2005-kv,wallington2005,
Webb2002-yr,webb2002,
White2012-yw,white2012,
Xiao2015-jv,xiao2015,
Xu2016-ql,xu2016,
Xue2015-el,xue2015,
Yang2017-xy,yang2017,
Yu2012,Yu2012,
zhou2013,zhou2013,
