,V1,,,76
alroy2010,1,1,,
arbogast2001,1,1,,
bahlo2000,2,1,,
barnosky2012,1,1,,
barton1998,1,1,,
barton2000,1,1,,
emerson2002,1,1,,
etienne2011,1,1,,
ewing2016,1,1,,
freedman2016,1,1,,
good2014,1,1,,
hudson1983,1,1,,
kendall1948,1,1,,
kim2002,1,1,,
kingman1982japplprob,1,1,,
li2016,1,1,,
olszewski2004,1,1,,
pompanon2012,2,1,,
rabosky2008evolution,1,1,,
rabosky2013,1,1,,
redQueen,1,1,,
Saitoh2016,1,1,,
satler2016,3,1,,
slatkin1991,1,1,,
tajima1983,1,1,,
tang2014,2,1,,
vellend2005ecollett,1,1,,
vellend2014,1,1,,
Yu2012,3,1,,
angly2014,1,,,
baldridge2016,1,,,
beerli2001,1,,,
blonder2015,2,,,
bohmann2014,2,,,
burbrink2015,1,,,
capo2016,1,,,
carstens2016,2,,,
chan2014,2,,,
charlesworth2010,2,,,
chesson2000,3,,,
coissac2016,2,,,
dawson2016,1,,,
dexter2012,1,,,
dodsworth2015,3,,,
drummond2005,1,,,
edwards2000,2,,,
elbrecht2015,2,,,
engen1996lnorm,1,,,
erwin2008,1,,,
etienne2007,2,,,
etienne2012,1,,,
gibson2014,3,,,
harte2011,10,,,
hey2004,1,,,
hickerson2005,1,,,
hickerson2006,2,,,
hubbell2001,6,,,
jabot2009,1,,,
jensen2005,1,,,
ji2013,2,,,
kelleher2016,1,,,
kern2016,1,,,
kingman1982stochasti,1,,,
krehenwinkel2016,2,,,
kuhner1998,1,,,
laroche2015,1,,,
lavergne2010,1,,,
leray2015,2,,,
linard2015,2,,,
liu2016,2,,,
mcgaughran2015,1,,,
mcgill2003,2,,,
mcgill2007,4,,,
meteR,2,,,
neill2009,1,,,
nielsen2014,1,,,
overcast,1,,,
papadopoulou2011,2,,,
prado-martinez2013,2,,,
pueyo2007,3,,,
rabosky2009,1,,,
ricklefs2006,3,,,
rominger2015,3,,,
rosenberg2002,1,,,
rosindell2010,1,,,
rosindell2015,1,,,
schrider2016,1,,,
sepkoski1984,1,,,
shokralla2015,2,,,
smith2012,1,,,
stephan2016,1,,,
taberlet2012,2,,,
tajima1989,1,,,
tilman2004,3,,,
vanoverbeke2015,3,,,
vellend2005amnat,1,,,
venkataraman2015,1,,,
wagner2006,1,,,
wakeley2008,1,,,
wallington2005,1,,,
webb2002,1,,,
white2012,2,,,
xiao2015,1,,,
xue2015,2,,,
zhou2013,2,,,
